Nº,Nombre legal,Nombre comercial,Nombre abreviado,Código fiscal,Tipo,Idioma,Estado,Razón de cambio,Fecha de fundación,Registro (número),Registro (ciudad),Objeto social,Observaciones,Categoría,Grupo Empresarial,Empresa padre,Productos,Servicios,Marcas,Certificaciones,Blog,Linkedin,Facebook,Twitter,Skype,Web,Número de impuestos,Saludo,País,Región,Provincia,Código postal,Localidad,Localidad (extensión),Dirección,Ap. Postal (número),Ap. Postal (código postal),Ap. Postal (ciudad),E-Mail 1,E-Mail 2,Teléfono 1,Teléfono 2,Móvil 1,Móvil 2,Fax 1,Fax 2,Código industrial,Código industrial,Rangos de empleados,Empleados 2018,Empleados 2017,Empleados 2016,Empleados 2015,Empleados 2014,Rango de facturación,Facturación 2018,Facturación 2017,Facturación 2016,Facturación 2015,Facturación 2014,Subsidiarias,Socio,Socio (Nr.),Membresía (Tipo),Membresía (Cargo),Cuota (Precio),Moneda de pago,Observaciones,Fecha de inicio,Fecha de fin,Razón de finalización,Factura (número),Factura (fecha),Factura (producto),Factura (valor),Pago (fecha),Pago (estado),Ejecutivo de Cuenta:,Origen del capital,Tamaño de empresa,+,-,+,-,+,-,+,-,+,-,Notas:,Observaciones,Administrador,Contacto principal,Contacto clave,Dirección General,Operaciones,Investigación,Administración,Marketing,RRHH,Finanzas,Ventas,Jurídica,Logística,Producción,Comunicación,Soporte al Cliente,IT
223,"Petróleos y Derivados Globales, S.A.",GT BUNKERS,GT BUNKERS,1286,Empresa,ES,1,,13/07/2010,,,,,Servicios,,,,we sale fuels and lubricants for vessels or companies that work or visit central américa.,Petroleum Products,,,,https://www.facebook.com/gtglobalgroup/,,,https://www.gtglobalservices.com,7081844-4,,PA,,,,Guatemala,Villa Nueva,"Calzada Aguilar Batres 45-54 Zona 11,  Oficina 303 ""A"",  Empresariales Monte María,  Villa Nueva, Gu",,,,bunkers@gtglobalservices.com,,24791816,24772712,,,,,,,de 1 a 25,12,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,23/07/2013,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"Gtc Bank, Inc.","GTC BANK, INC.","GTC BANK, INC.",529,Empresa,ES,1,,31/07/2016,,,,,Servicios,,,,banking services / central america region,Financial & Banking Services,,,,https://www.facebook.com/elbancodetuvida/,,,https://www.gytcontinental.com.gt,8119443-9,,PA,,,,Guatemala,Guatemala,"5 av. 5-55 Zona 14, Edificio Europlaza, Nivel 16, Torre 4, Ciudad, Guatemala.",,,,AlfredoR@gytcontinental.com.gt,,22859797,,,,,,,,de 26 a 100,100,,,,,,,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,31/07/2002,01/01/1800,,,,,,,,"Ramirez, Mariana",Multinacional,Grande,"País:Germany |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"Fábrica de Artículos Plásticos Guateplast, S.A",GUATEPLAST,GUATEPLAST,181,Empresa,ES,1,,18/08/2016,,,,,Comercio,,,fábrica de artículos plásticos para el hogar,,Plastic Products,,,,https://www.facebook.com/guateplast/,@guateplastgt,,https://www.guateplast.com,57461-9,,GT,,,,Guatemala,Guatemala,2a. Calle ,,,,telecom@guateplast.com,,2427-5400,,,,,,,,,450,,,,,,,,,,,,1,,Empresarial,,,GTQ,,27/12/1984,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"Janama, S.A",GUATEPRENDA,GUATEPRENDA,4101,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,préstamos de consumo,,Pawnshop Services,,,,https://www.facebook.com/guateprenda/,,,https://www.guateprenda.com/,9191211-3,,GT,,,,Guatemala,Mixco,"23 Calle 14-58 zona 4 Mixco, Edificio Crece, Torre I, Nivel 10, oficina 1001, Ciudad, Guatemala",,,,,,23761201,,,,,,,,de 251 a 500,0,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,19/02/2018,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"Handelung, S.A",HANDELSA,HANDELSA,331,Empresa,ES,1,,27/12/2012,,,,,Comercio,,,"equipos y materias primas para las industrias, pintura, plásticos, minería, láctea, cárnica, avícola",,Raw Materials,,,,https://www.facebook.com/handelung/,,,https://www.handelung.com,8100353-6,,GT,,,,Guatemala,Guatemala,"20 Calle 18-23, Zona 10 Edif. Plaza Buro, Niv. 2 Of. 208 Ciudad, Guatemala",,,,info@handelung.com,,26667700,23662565,,,,,,,de 1 a 25,9,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,06/08/1992,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Hanes de Centroamerica S.A,HANES DE CENTROAMERICA S.A.,HANES DE CENTROAMERICA S.A.,1187,Empresa,ES,1,,05/09/2012,,,,,Comercio,,,"ropa interior hombre, mujer, niño, deportiva e intima de mujer",,Clothes Imports/Distributors,,,,https://www.facebook.com/hanes,,,https://www.hanes.com,622379-6,,US,,,,Guatemala,Guatemala,"Avenida Reforma 1-50, Zona 9 Edificio El Reformador Nivel 9, Oficina 904, Ciudad Guatemala",,,,jorge.abogabo@hanes.com,,23808400,,,,,,,,de 26 a 100,45,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,11/05/2012,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,"País:United States |
Ciudad: ","País:El Salvador |
Ciudad: ","País:Mexico |
Ciudad: ","País:Honduras |
Ciudad: ",,"País:Nicaragua |
Ciudad: ",,"País:Costa Rica|
Ciudad: ",,,,,,,,,,,,,,,,,,,,
229,"Hapag-Lloyd Guatemala, S.A","HAPAG-LLOYD GUATEMALA,S.A.","HAPAG-LLOYD GUATEMALA,S.A.",1452,Empresa,ES,1,,01/02/2009,,,,,Servicios,,,,maritime transport services,Shipping Services,,,,https://www.facebook.com/hapaglloydag/,,,https://www.hapag-lloyd.com,7128641-1,,GT,,,,Guatemala,Guatemala,"2a Calle 24-00  Zona 15, Vista Hermosa II, Edif. Domani oficina 1602-1603, Ciudad, Guatemala.",,,,gonzaju@hlag.com,,22054000,22054001,,,,,,,de 1 a 25,24,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,11/04/2016,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"Hill & Knowlton Guatemala, S.A.",HILL + KNOWLTON STRATEGIES,HILL + KNOWLTON STRATEGIES,1295,Empresa,ES,1,,01/01/1927,,,,,Servicios,,HILL + KNOWLTON STRATEGIES,,"public relations agency, events services, mass media communications.",Public Relations Agenciy,,,,https://www.facebook.com/hkstrategies.gt/?hc_ref=ARSCJHy6x2DswHPkyYfZ9i9HtmDgPmCkX44po6AWqkLL5oOZltccZGb7PpO11VzQcDw&fref=nf,@HKGuate,,https://www.hkstrategies.com/guatemala/en/about/,1955391-9,,US,,,,Guatemala,Guatemala,"Centro Corporativo Guayacán, Nivel 8, Av. Reforma 6-39 zona 10",,,,guatemala@hkstrategies.com,,24165353,,,,,,,,,8,,,,,"USD$101,000 - 1,200,000",,,,,,"Hill & Knowlton Guatemala, S.A.; ",1,,Empresarial,,,GTQ,,17/06/2009,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"Empresa Hospitalaria Cemesa, S.A",HOSPITAL CENTRO MÉDICO,HOSPITAL CENTRO MÉDICO,1059,Empresa,ES,1,,22/10/1948,,,,,Servicios,,,,medical services,Medical/Hospital Equipment and Services,,,,https://www.facebook.com/CentroMedicoGuatemala/,centromedicogt,,https://www.centromedico.com.gt,33785-4,,GT,,,,Guatemala,Guatemala,"6a. Avenida 3-47  Zona 10, Ciudad, Guatemala",,,,mercadeo@centromedico.com.gt,,22794949,23194600,,,,,,,de 501 a 1000,900,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,19/05/2010,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Hoteles Princess de Guatemala S.A,HOTEL HILTON GARDEN INN GUATEMALA,HOTEL HILTON GARDEN INN GUATEMALA,193,Empresa,ES,1,,02/03/1991,,,,,Servicios,,,,accommodation and catering,Hotel & Convention Services,,,,https://www.facebook.com/HGI.Guatemala/,,,https://www.guatemalacity.hgi.com,586348-1,,GT,,,,Guatemala,Guatemala,"13 Calle 7-65 Zona 9, Ciudad, Guatemala",,,,reservaciones@hgiguatemala.com,,24230909,,,,,,,,,113,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,,,GTQ,,02/11/2004,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"Organización Hoteltur, S.A",HOTEL HOLIDAY INN GUATEMALA,HOTEL HOLIDAY INN GUATEMALA,190,Empresa,ES,1,,20/05/1997,,,,,Servicios,,,,hotel and tourism services.,Hotel & Convention Services,,,,https://www.facebook.com/HotelHolidayInnGuatemala/,@holidayinngua,,https://www.holidayinn.com/guatemala,3008823-2,,US,,,,Guatemala,Guatemala,"1a Avenida 13-22 Zona 10, Ciudad, Guatemala.",,,,reservacionesholiday@hinn.com.gt,,24210000,,,,,,,,de 101 a 250,145,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,30/11/2004,01/01/1800,,,,,,,,"Ramírez,Mariana",Franquicias,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"Latam Hotel Corporation de Guatemala, S.A",HOTEL HYATT CENTRIC GUATEMALA,HOTEL HYATT CENTRIC GUATEMALA,1538,Empresa,ES,1,,20/07/2018,,,,,Servicios,,,,"alojamiento, alimentos y bebidas",Hotel & Convention Services,,,,https://www.facebook.com/hyatt,,,https://www.guatemalacity.centric.hyatt.com,7929527-4,,GT,,,,Guatemala,Guatemala,12 Calle 2-25 zona 10,,,,reservas.hyattcentric@ghlhoteles.com,,22176000,,,,,,,,de 26 a 100,78,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,01/01/1800,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"Compañia Internacional de Hoteles, S.A",HOTEL REAL INTERCONTINENTAL GUATEMALA,HOTEL REAL INTERCONTINENTAL GUATEMALA,434,Empresa,ES,1,,10/10/2000,,,,,Servicios,,,,hotels services,Hotel & Convention Services,,,Real Hotels & Resorts,https://www.facebook.com/realintercontinentalguatemala/,,,https://www.intercontinental.com/Guatemala/Lujo,2399458-4,,SV,,,,Guatemala,Guatemala,"14 Calle entre 2a y 3a. Avenida, Zona 10, Ciudad, Guatemala",,,,inter.gua@r-hr.com,,24134444,,,,,,,,,260,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,31/10/2000,,,,,,,,,"Requena, Annemarie",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"Hotel Las Américas, S.A",HOTEL LAS AMÉRICAS,HOTEL LAS AMÉRICAS,191,Empresa,ES,1,,01/07/1993,,,,,Servicios,,,,hotel & local and international food.,Hotel & Convention Services,,,,https://www.facebook.com/hotellasamericasguate/,,,https://www.lasamericas.com.gt,562207-7,,GT,,,,Guatemala,Guatemala,"Avenida Las Américas 9-08, Zona 13, Ciudad, Guatemala",,,,ventas@lasamericas.com.gt,,24225000,,,,,,,,de 101 a 250,250,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,,,GTQ,,18/05/2011,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"Promociones Turísticas Nacionales, S.A",HOTEL MUSEO SPA CASA SANTO DOMINGO,HOTEL MUSEO SPA CASA SANTO DOMINGO,1147,Empresa,ES,1,,01/09/1989,,,,,Servicios,,,,hospitality,Hotel & Convention Services,,,,https://www.facebook.com/hotelcasasantodomingoguatemala/,,,https://www.casasantodomingo.com.gt,,,GT,,,,Sacatepequez,Antigua,"3a. Calle Oriente No.28, La Antigua Guatemala, Guatemala",,,,ventas@casasantodomingo.com.gt,,78201220,,,,,,,,de 251 a 500,400,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,10/11/2011,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"Empresas Piva, S.A",BEST WESTERN PLUS HOTEL STOFELLA,BEST WESTERN PLUS HOTEL STOFELLA,1391,Empresa,ES,1,,01/08/1992,,,,,Servicios,,,,room rent,Hotel & Convention Services,,,,https://www.facebook.com/BEST-Western-PLUS-Hotel-Stofella-289644701133681/,,,https://www.stofella.com,530365-6,,US,,,,Guatemala,Guatemala,"2a. Avenida 12-28 Zona 10, Ciudad, Guatemala.",,,,info@stofella.com,,24108600,,,,,,,,,50,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,,,GTQ,,10/04/2015,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Profesionales en Turismo S.A,HOTEL VISTA REAL,HOTEL VISTA REAL,311,Empresa,ES,1,,15/10/1997,,,,,Servicios,,,,hotel & restaurant services.,Hotel & Convention Services,,,,https://www.facebook.com/vistarealguatemala/,,,https://www.vistareal.com,3350703-1,,GT,,,,Guatemala,Guatemala,"Km. 9 Carretera a El Salvador, Ciudad, Guatemala",,,,info@vistareal.com,,24270000,24207720,,,,,,,de 101 a 250,150,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,,,GTQ,,30/11/2004,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Proyectos Turísticos Maya, S.A - Vacaciones Internacionales, S.A",HOTELES SOLEIL GUATEMALA,HOTELES SOLEIL GUATEMALA,971,Empresa,ES,1,,09/11/2011,,,,,Servicios,,HOTELES SOLEIL GUATEMALA,,Hotel & Convention Services,Hotel & Convention Services,,,Hoteles Soleil Guatemala,https://www.facebook.com/hotelessoleilguatemala/,@Hotelessolei,,https://www.hotelessoleilguatemala.com,549233-5,,GT,,,,Guatemala,Guatemala,"18 Calle 5-56 Zona 10, Edificio Unicentro, 8o Nivel oficina 802-B, Ciudad, Guatemala.",,,,atencionalcliente@gruposoleil.com,,24627777,24627751,,,,,,,de 251 a 500,350,,,,,,,,,,,"Proyectos Turísticos Maya, S.A - Vacaciones Internacionales, S.A; ",1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,29/01/2009,01/01/1800,,,,,,,,"Ramirez, Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Hugo Leonel  Aragón,HUGO LEONEL  ARAGÓN,,1531,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,"audit, consulting and advisory services",Auditing & Consulting Firm,,,,,,,,2638850-2,,GT,,,,Guatemala,Guatemala,"3a Avenida 13-17 zona 13, Lomas de Pamplona",,,,hugoleo.aragon@gmail.com,,56333966,,,,,,,,de 1 a 25,1,,,,,"Menos de USD$100,000.00",0,,,,,,1,,Individual,C07,0 GTQ | 0 USD | ,GTQ,,03/11/2017,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Ilma Niederheitmann - Bayo,ILMA NIEDERHETMANN - BAYO,ILMA NIEDERHETMANN - BAYO,1306,Empresa,ES,1,,23/06/2016,,,,,Servicios,,,,"simultaneous conference interpretation, translation, rental of simultaneous interpretation equipment, recruitment of conference interpreters.",Translation and Interpetation,,,Ilma Bayo,,,,,46887-8,,GT,,,,Guatemala,Santa Catarina Pinula,"Calle Cedros 364, Santa Rosalía La Laguna, St. Catarina Pinula, Guatemala",,,,ibayo@msn.com,,23659536,66431671,,,,,,,,0,,,,,"Menos de USD$100,000.00",0,,,,,,1,,Individual,C07,0 GTQ | 0 USD | ,GTQ,,26/11/2013,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"Industria de Café, S.A - Incasa","INCASA -INDUSTRIA DE CAFÉ, S.A.-","INCASA -INDUSTRIA DE CAFÉ, S.A.-",201,Empresa,ES,1,,01/01/1800,,,,,Industria,,,,,Coffee Products,,,,,,,----------,32687-9,,GT,,,,Guatemala,Guatemala,"Km. 6.5, Zona 17 CA al Atlántico, Guatemala",,,,,,24180800,,,,,,,,,0,,,,,,,,,,,,1,,Empresarial,,,GTQ,,25/10/1967,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Industria Cosmética Kent, S.A",INCOKENSA,INCOKENSA,866,Empresa,ES,1,,09/11/1985,,,,,Industria,,,productos de cuidado personal y cuidado de bebe,,Plastic Products,,,,https://www.facebook.com/profile.php?id=100013927532720,,,https://www.grupoick.com,374599-6,,GT,,,,Guatemala,Guatemala,"Av. Petapa 39 Calle 18-45 Zona 12, Ciudad, Guatemala",,,,ickmercadeo@grupoick.com,,24993599,,,,,,,,de 101 a 250,250,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,04/10/2007,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"Industria Procesadora de Salsas, S.A",ALIMENTOS C&Q,ALIMENTOS C&Q,662,Empresa,ES,1,,08/08/2001,,,,,Industria,,,productos alimenticios,,Food/Products/Manufacturers and Distributors,,,,https://www.facebook.com/alimentoscyq/,,,https://www.industriacq.com.gt,2671425-6,,GT,,,,Guatemala,Mixco,"7a. Avenida 1-53, Zona 2 de Mixco, Colonia el Tesoro, Mixco, Guatemala",,,,jcobar@industriacq.com.gt,,22068700,,,,,,,,de 26 a 100,75,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,,,GTQ,,18/08/2004,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"Industria y Desarrollo Turístico, S.A.",CLARK TOURS,CLARK TOURS - AMERICAN EXPRESS GLOBAL BUSINESS TRAVEL,28,Empresa,ES,1,,21/06/1927,,,,,Servicios,,,,Tourism Service/Travel Agency,Tourism Service/Travel Agency,,,,https://www.facebook.com/clarktours,@clarktours,,https://www.clarktours.com.gt,32581-3,,GT,,,,Guatemala,Guatemala,"7a. Avenida 14-76 Zona 9,  Ciudad, Guatemala.",,,,info@clarktours.com.gt,,24124700,,,,,,,,,50,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,,,GTQ,,28/06/2005,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Infraestructuras Tecnologicas S.A,INFRATECSYSM,INFRATECSYSM,1489,Empresa,ES,1,,21/10/2012,,,,,Servicios,,,,,Software/Hardware Manufacturers/Distributors,,,,,,,,4211457-8,,GT,,,,Guatemala,Guatemala,"Diagonal 6, 13-08 Zona 10, Edificio Rodriguez Of 302, Ciudad, Guatemala.",,,,infraestructurastecnologicassa@gmail.com,,23178300,,,,,,,,,0,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,15/11/2016,01/01/1800,,,,,,,,"Requena, Annemarie",sin definir,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"Ingenio Magdalena, S.A","INGENIO MAGDALENA, S.A.","INGENIO MAGDALENA, S.A.",4360,Empresa,ES,0,,17/12/1974,,,,,Servicios,,,,sugar and sugar products.,Agriculture Products,,,,,,,https://www.iasmag.imsa.com.gt,104747-7,,GT,,,,Guatemala,Guatemala,"22 Avenida 11-00 Zona 15 Vista Hermosa III, Ciudad Guatemala",,,,imsa@imsa.com.gt,,23645946,23640850,,,,,,,más de 1000,10839,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,02/03/2012,01/01/1800,,,,,,,,"Quezada,Johanna",Nacional,Grande,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"INDUSTRIA GUATEMALTECA DE MACADAMIA, S.A.","INDUSTRIA GUATEMALTECA DE MACADAMIA, S.A.","INDUSTRIA GUATEMALTECA DE MACADAMIA, S.A.",1122,Empresa,ES,1,,18/06/1975,,,,,Industria,,,"macadamia and cardamom oil, macadamia nut.",,Agriculture Products,,,,,,,,120411-4,,GT,,,,Guatemala,Guatemala,"Diagonal 6, 10-65 Zona 10, Centro Gerencial Las Margaritas Torre I, Nivel 14 Ciudad, Guatemala",,,,trading@mayangold.com.gt,,23865700,,,,,,,,,700,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,01/06/2011,,,,,,,,,"Requena, Annemarie",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,"Industrias Lácteas, S.A",INLACSA,INLACSA,1195,Empresa,ES,1,,16/08/1976,,,,,Industria,,,,dairy products and beverages manufactures,Dairy Products,,,,https://www.facebook.com/profile.php?id=100012309193040,,,https://www.inlacsa.com,136798-6,,HN,,,,Guatemala,Villa Nueva,"Km. 25.5 Carretera a El Salvador, Fraijanes, Guatemala",,,,,,66209696,,,,,,,,de 251 a 500,318,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,05/07/2012,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"Industrias de Maderas del Norte, S.A",INMANSA,INMANSA,1425,Empresa,ES,1,,01/09/2013,,,,,Agro-industria,,,"pallets de madera y cartón, esquineros plásticos y cartón, fleje plástico",,Packing Services,,,,,,,https://www.inmansa.com.gt,8323807-7,,GT,,,,Guatemala,El Progreso,"Calle Puente Orellana Aldea El Rancho, El Progreso, Guatemala",,,,info@inmansa.com.gt,,56162496,,,,,,,,de 1 a 25,5,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,29/10/2015,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,"País:China |
Ciudad: ","País:Mexico |
Ciudad: ","País:Costa Rica|
Ciudad: ",,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,
252,"Innova Outsourcing, S.A",INNOVA TELECOMUNICACIONES,INNOVA TELECOMUNICACIONES,1470,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,sales of internet services and data links,Telecommunication Services,,,,,,,https://www.innovatelco.net,6443985-2,,GT,,,,Guatemala,Guatemala,"17 Avenida 19-70 Zona 10, Edificio Torino N.11 Oficina 1101, Ciudad, Guatemala.",,,,lgarcia@innovatelco.net,,23049600,,,,,,,,,25,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,,,GTQ,,28/07/2016,,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"Ics, S.A",INNOVATIVE CONTACT SOLUTION S.A.,INNOVATIVE CONTACT SOLUTION S.A.,4496,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,,Call Center,,,,https://www.facebook.com/247intouchguatemala/,,,https://www.24-7intouch.com,4320636-0,,GT,,,,Guatemala,Guatemala,"15 Ave 5-00 Zona 13, WTC Building. North Tower 5th Floor. Guatemala, 01013",,,,hrgt1@24-7intouch.com,,24112600,24112634,,,,,,,,0,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,15/03/2017,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"Intcomex de Guatemala, S.A",INTCOMEX DE GUATEMALA,INTCOMEX DE GUATEMALA,1016,Empresa,ES,1,,13/02/1997,,,,,Industria,,,computer technology and electrical,,Telecommunication Services,,,Intcomex,https://www.facebook.com/Intcomex.Guatemala/,@Intcomex_gt/ Intcomex Guatemala,,https://www.intcomex.com,817592-6,,US,,,,Guatemala,Guatemala,"27 Av. ""A"" 18-15 Zona 10, Ciudad, Guatemala",,,,info.gt@intcomex.com,,23283838,,,,,,,,de 101 a 250,200,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,07/09/2009,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,"EY Law, S.A",EY LAW,,669,Empresa,ES,1,,13/05/1996,,,,,Servicios,,,,Legal Consultants ,Attorney and legal consultants/Law Firm,,,,www.facebook.com/EYCentroamerica/,,,https://www.ey.com,8769052-7,,GT,,,,Guatemala,Guatemala,"5a Ave. 5-55 zona 14, Edificio Europlaza WBC, Torre 1 Nivel 7 oficina 703",,,,enrique.moller@gt.ey.com,,23862400,,,,,,,,,16,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Corporativa,,,GTQ,,12/05/2017,30/10/2014,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"Intelenet Lat Am Services, S.A","INTELENET LAT AM SERVICES, S.A.","INTELENET LAT AM SERVICES, S.A.",1487,Empresa,ES,1,,05/05/2010,,,,,Servicios,,,,,Contact Center and BPO (Business Process Outsourcing),,,,Facebook.com/Intelenet-Global-Services-Americas,,,https://www.intelnetglobal.com,6996069-0,,GT,,,,Guatemala,Guatemala,"7a Calle""A"" 7-31 Zona 9, Edificio Arrend Nivel 10, Ciudad, Guatemala.",,,,,,22036000,,,,,,,,de 101 a 250,150,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,27/10/2016,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"Banco Internacional, S.A",INTERBANCO,INTERBANCO,51,Empresa,ES,1,,12/07/1976,,,,,Servicios,,,,"deposits accounts, loans, cards and banking services",Financial & Banking Services,,,Interbanco Guatemala,https://www.facebook.com/InterBancoGT/,@InterBancoGT,,https://www.interbanco.com.gt,120554-4,,ES,,,,Guatemala,Guatemala,"Avenida La Reforma 15-85 Zona 10, Torre Internacional, Ciudad, Guatemala",,,,servicioenlinea@interbanco.com.gt,,1701,,,,,,,,de 501 a 1000,690,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,16/03/2006,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
